,RouteName,PriceStart,BusesCount,FirstBus,LastBus,BookNow,RouteLink
0,Durgapur (West Bengal) to Kolkata,From INR 135,10 bus options,First Bus : 07:15,Last Bus : 17:25,BOOK NOW,https://www.redbus.in/bus-tickets/durgapur-to-kolkata
1,Digha to Barasat (West Bengal),From INR 161,18 bus options,First Bus : 04:00,Last Bus : 16:45,BOOK NOW,https://www.redbus.in/bus-tickets/digha-to-barasat-west-bengal
2,Barasat (West Bengal) to Digha,From INR 161,18 bus options,First Bus : 03:45,Last Bus : 15:50,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-digha
3,Suri to Kolkata,From INR 435,4 bus options,First Bus : 05:15,Last Bus : 14:30,BOOK NOW,https://www.redbus.in/bus-tickets/suri-to-kolkata
4,Kolkata to Digha,From INR 145,22 bus options,First Bus : 01:00,Last Bus : 16:45,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-digha
5,Bolpur (West Bengal) to Kolkata,From INR 375,4 bus options,First Bus : 06:10,Last Bus : 15:25,BOOK NOW,https://www.redbus.in/bus-tickets/bolpur-west-bengal-to-kolkata
6,Kolkata to Suri,From INR 435,4 bus options,First Bus : 06:45,Last Bus : 16:00,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-suri
7,Digha to Kolkata,From INR 145,37 bus options,First Bus : 04:00,Last Bus : 16:45,BOOK NOW,https://www.redbus.in/bus-tickets/digha-to-kolkata
8,Kolkata to Durgapur (West Bengal),From INR 135,8 bus options,First Bus : 06:00,Last Bus : 16:15,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-durgapur
9,Habra to Digha,From INR 179,8 bus options,First Bus : 03:45,Last Bus : 13:00,BOOK NOW,https://www.redbus.in/bus-tickets/habra-to-digha
10,Barasat (West Bengal) to Nandakumar (west bengal),From INR 89,18 bus options,First Bus : 03:45,Last Bus : 15:50,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nandakumar
11,Asansol (West Bengal) to Kolkata,From INR 165,10 bus options,First Bus : 06:15,Last Bus : 16:30,BOOK NOW,https://www.redbus.in/bus-tickets/asansol-to-kolkata
12,Barasat (West Bengal) to Contai (Kanthi),From INR 131,17 bus options,First Bus : 03:45,Last Bus : 15:50,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-contai-kanthi
13,Siliguri to Kolkata,From INR 1355,1 bus options,First Bus : 17:50,Last Bus : 17:50,BOOK NOW,https://www.redbus.in/bus-tickets/siliguri-to-kolkata
14,Kolkata to Bolpur (West Bengal),From INR 375,4 bus options,First Bus : 06:45,Last Bus : 16:00,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-bolpur-west-bengal
15,Barasat (West Bengal) to Midnapore,From INR 120,1 bus options,First Bus : 07:00,Last Bus : 07:00,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-midnapore
16,Barasat (West Bengal) to Kolaghat,From INR 69,17 bus options,First Bus : 03:45,Last Bus : 15:50,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-kolaghat
17,Barasat (West Bengal) to Durgapur (West Bengal),From INR 147,3 bus options,First Bus : 05:40,Last Bus : 07:30,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-durgapur
18,Barasat (West Bengal) to Heria,From INR 112,15 bus options,First Bus : 03:45,Last Bus : 15:50,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-heria
19,Digha to Habra,From INR 179,8 bus options,First Bus : 04:00,Last Bus : 14:50,BOOK NOW,https://www.redbus.in/bus-tickets/digha-to-habra
20,Midnapore to Barasat (West Bengal),From INR 120,1 bus options,First Bus : 15:40,Last Bus : 15:40,BOOK NOW,https://www.redbus.in/bus-tickets/midnapore-to-barasat-west-bengal
21,Haldia to Barasat (West Bengal),From INR 113,1 bus options,First Bus : 16:45,Last Bus : 16:45,BOOK NOW,https://www.redbus.in/bus-tickets/haldia-to-barasat-west-bengal
22,Barasat (West Bengal) to Haldia,From INR 113,1 bus options,First Bus : 07:10,Last Bus : 07:10,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-haldia
23,Midnapore to Kolkata,From INR 105,1 bus options,First Bus : 15:40,Last Bus : 15:40,BOOK NOW,https://www.redbus.in/bus-tickets/midnapore-to-kolkata
24,Durgapur (West Bengal) to Purulia,From INR 240,3 bus options,First Bus : 09:15,Last Bus : 18:15,BOOK NOW,https://www.redbus.in/bus-tickets/durgapur-to-purulia
25,Barasat (West Bengal) to Burdwan,From INR 93,2 bus options,First Bus : 06:00,Last Bus : 07:30,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-burdwan
26,Kolkata to Siliguri,From INR 1355,1 bus options,First Bus : 17:50,Last Bus : 17:50,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-siliguri
27,Durgapur (West Bengal) to Barasat (West Bengal),From INR 147,1 bus options,First Bus : 14:25,Last Bus : 14:25,BOOK NOW,https://www.redbus.in/bus-tickets/durgapur-to-barasat-west-bengal
28,Haldia to Kolkata,From INR 97,1 bus options,First Bus : 16:45,Last Bus : 16:45,BOOK NOW,https://www.redbus.in/bus-tickets/haldia-to-kolkata
29,Kolkata to Purulia,From INR 595,3 bus options,First Bus : 06:00,Last Bus : 15:00,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-purulia
30,Kolkata to Asansol (West Bengal),From INR 165,8 bus options,First Bus : 06:00,Last Bus : 16:15,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-asansol
31,Barasat (West Bengal) to Debra,From INR 98,1 bus options,First Bus : 07:00,Last Bus : 07:00,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-debra
32,Barasat (West Bengal) to Asansol (West Bengal),From INR 177,3 bus options,First Bus : 05:40,Last Bus : 07:30,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-asansol
33,Kolkata to Bakkhali,From INR 102,1 bus options,First Bus : 07:50,Last Bus : 07:50,BOOK NOW,https://www.redbus.in/bus-tickets/kolkata-to-bakkhali
34,Barasat (West Bengal) to Nimtouri,From INR 82,1 bus options,First Bus : 07:10,Last Bus : 07:10,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-nimtouri
35,Habra to Kolaghat,From INR 87,9 bus options,First Bus : 03:45,Last Bus : 13:00,BOOK NOW,https://www.redbus.in/bus-tickets/habra-to-kolaghat
36,Habra to Durgapur (West Bengal),From INR 165,1 bus options,First Bus : 05:05,Last Bus : 05:05,BOOK NOW,https://www.redbus.in/bus-tickets/habra-to-durgapur
37,Barasat (West Bengal) to Mechogram,From INR 73,1 bus options,First Bus : 07:00,Last Bus : 07:00,BOOK NOW,https://www.redbus.in/bus-tickets/barasat-west-bengal-to-mechogram
38,Habra to Haldia,From INR 132,1 bus options,First Bus : 06:10,Last Bus : 06:10,BOOK NOW,https://www.redbus.in/bus-tickets/habra-to-haldia
39,Habra to Contai (Kanthi),From INR 149,8 bus options,First Bus : 03:45,Last Bus : 13:00,BOOK NOW,https://www.redbus.in/bus-tickets/habra-to-contai-kanthi
40,Habra to Midnapore,From INR 138,1 bus options,First Bus : 05:55,Last Bus : 05:55,BOOK NOW,https://www.redbus.in/bus-tickets/habra-to-midnapore
41,Vijayawada to Hyderabad,From INR 414,129 bus options,First Bus : 00:05,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
42,Hyderabad to Vijayawada,From INR 367,160 bus options,First Bus : 00:10,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
43,Kakinada to Visakhapatnam,From INR 239,93 bus options,First Bus : 00:30,Last Bus : 23:40,BOOK NOW,https://www.redbus.in/bus-tickets/kakinada-to-visakhapatnam
44,Visakhapatnam to Kakinada,From INR 239,98 bus options,First Bus : 00:25,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/visakhapatnam-to-kakinada
45,Chittoor (Andhra Pradesh) to Bangalore,From INR 186,27 bus options,First Bus : 01:30,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/chittoor-andhra-pradesh-to-bangalore
46,Kadapa to Bangalore,From INR 412,42 bus options,First Bus : 00:25,Last Bus : 23:50,BOOK NOW,https://www.redbus.in/bus-tickets/kadapa-to-bangalore
47,Anantapur (andhra pradesh) to Bangalore,From INR 307,45 bus options,First Bus : 00:30,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/ananthapur-to-bangalore
48,Tirupati to Bangalore,From INR 280,63 bus options,First Bus : 00:30,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/tirupathi-to-bangalore
49,Visakhapatnam to Vijayawada,From INR 549,81 bus options,First Bus : 00:15,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/visakhapatnam-to-vijayawada
50,Ongole to Hyderabad,From INR 555,36 bus options,First Bus : 08:30,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/ongole-to-hyderabad
51,Bangalore to Tirupati,From INR 284,65 bus options,First Bus : 03:30,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/bangalore-to-tirupathi
52,Macherla (andhra pradesh) to Hyderabad,From INR 302,20 bus options,First Bus : 04:00,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/macherla-to-hyderabad
53,Rajahmundry to Visakhapatnam,From INR 298,89 bus options,First Bus : 00:15,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/rajahmundry-to-visakhapatnam
54,Nandyal to Hyderabad,From INR 469,21 bus options,First Bus : 00:30,Last Bus : 23:50,BOOK NOW,https://www.redbus.in/bus-tickets/nandyala-to-hyderabad
55,Bangalore to Kadapa,From INR 412,43 bus options,First Bus : 04:00,Last Bus : 23:50,BOOK NOW,https://www.redbus.in/bus-tickets/bangalore-to-kadapa
56,Hyderabad to Ongole,From INR 522,40 bus options,First Bus : 06:33,Last Bus : 22:30,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-ongole
57,Guntur (Andhra Pradesh) to Hyderabad,From INR 451,19 bus options,First Bus : 09:00,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/guntur-to-hyderabad
58,Vijayawada to Visakhapatnam,From INR 549,79 bus options,First Bus : 00:30,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/vijayawada-to-visakhapatnam
59,Rajahmundry to Vijayawada,From INR 199,92 bus options,First Bus : 00:45,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/rajahmundry-to-vijayawada
60,Hyderabad to Kurnool,From INR 265,62 bus options,First Bus : 00:30,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-kurnool
61,Bangalore to Chittoor (Andhra Pradesh),From INR 186,38 bus options,First Bus : 04:20,Last Bus : 23:35,BOOK NOW,https://www.redbus.in/bus-tickets/bangalore-to-chittoor-andhra-pradesh
62,Kurnool to Hyderabad,From INR 265,55 bus options,First Bus : 00:05,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/kurnool-to-hyderabad
63,Visakhapatnam to Rajahmundry,From INR 298,111 bus options,First Bus : 00:15,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/visakhapatnam-to-rajahmundry
64,Rayachoti to Bangalore,From INR 330,24 bus options,First Bus : 00:50,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/rayachoti-to-bangalore
65,Vinukonda to Hyderabad,From INR 435,12 bus options,First Bus : 09:00,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/vinukonda-to-hyderabad
66,Bangalore to Anantapur (andhra pradesh),From INR 307,52 bus options,First Bus : 00:30,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/bangalore-to-ananthapur
67,Amalapuram to Visakhapatnam,From INR 355,47 bus options,First Bus : 03:30,Last Bus : 23:50,BOOK NOW,https://www.redbus.in/bus-tickets/amalapuram-to-visakhapatnam
68,Vijayawada to Tirupati,From INR 510,70 bus options,First Bus : 00:20,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/vijayawada-to-tirupathi
69,Madanapalli to Bangalore,From INR 143,13 bus options,First Bus : 03:40,Last Bus : 17:45,BOOK NOW,https://www.redbus.in/bus-tickets/madanapalli-to-bangalore
70,Narasaraopet to Hyderabad,From INR 427,12 bus options,First Bus : 08:35,Last Bus : 23:50,BOOK NOW,https://www.redbus.in/bus-tickets/narsaraopet-to-hyderabad
71,Eluru to Hyderabad,From INR 537,31 bus options,First Bus : 00:45,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/eluru-to-hyderabad
72,Visakhapatnam to Amalapuram,From INR 367,46 bus options,First Bus : 03:30,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/visakhapatnam-to-amalapuram
73,Kadiri to Bangalore,From INR 188,23 bus options,First Bus : 04:00,Last Bus : 23:20,BOOK NOW,https://www.redbus.in/bus-tickets/kadiri-to-bangalore
74,Chennai to Tirupati,From INR 149,52 bus options,First Bus : 00:15,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/chennai-to-tirupathi
75,Rajahmundry to Hyderabad,From INR 686,19 bus options,First Bus : 18:30,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/rajahmundry-to-hyderabad
76,Kurnool to Vijayawada,From INR 555,31 bus options,First Bus : 05:30,Last Bus : 23:57,BOOK NOW,https://www.redbus.in/bus-tickets/kurnool-to-vijayawada
77,Vijayawada to Kurnool,From INR 554,31 bus options,First Bus : 02:15,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/vijayawada-to-kurnool
78,Kakinada to Vijayawada,From INR 355,51 bus options,First Bus : 02:10,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/kakinada-to-vijayawada
79,Bangalore to Madanapalli,From INR 157,11 bus options,First Bus : 05:45,Last Bus : 20:15,BOOK NOW,https://www.redbus.in/bus-tickets/bangalore-to-madanapalli
80,Nellore to Bangalore,From INR 613,22 bus options,First Bus : 00:20,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/nellore-to-bangalore
81,Hyderabad to Narasaraopet,From INR 335,19 bus options,First Bus : 07:00,Last Bus : 22:30,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-narsaraopet
82,Hyderabad to Guntur (Andhra Pradesh),From INR 373,23 bus options,First Bus : 04:15,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-guntur
83,Bangalore to Kadiri,From INR 178,26 bus options,First Bus : 00:37,Last Bus : 23:15,BOOK NOW,https://www.redbus.in/bus-tickets/bangalore-to-kadiri
84,Vijayawada to Rajahmundry,From INR 199,94 bus options,First Bus : 00:30,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/vijayawada-to-rajahmundry
85,Bangalore to Rayachoti,From INR 293,31 bus options,First Bus : 04:00,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/bangalore-to-rayachoti
86,Kurnool to Bangalore,From INR 579,19 bus options,First Bus : 06:30,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/kurnool-to-bangalore
87,Tirupati to Chennai,From INR 162,44 bus options,First Bus : 01:15,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/tirupathi-to-chennai
88,Hyderabad to Anantapur (andhra pradesh),From INR 551,25 bus options,First Bus : 01:00,Last Bus : 23:10,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-ananthapur
89,Anantapur (andhra pradesh) to Hyderabad,From INR 579,23 bus options,First Bus : 08:00,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/ananthapur-to-hyderabad
90,Bangalore to Kozhikode,From INR 215,14 bus options,First Bus : 10:03,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/bangalore-to-kozhikode
91,Kozhikode to Ernakulam,From INR 174,55 bus options,First Bus : 00:30,Last Bus : 23:50,BOOK NOW,https://www.redbus.in/bus-tickets/kozhikode-to-ernakulam
92,Kozhikode to Bangalore,From INR 411,18 bus options,First Bus : 03:02,Last Bus : 23:25,BOOK NOW,https://www.redbus.in/bus-tickets/kozhikode-to-bangalore
93,Ernakulam to Kozhikode,From INR 193,60 bus options,First Bus : 00:20,Last Bus : 23:39,BOOK NOW,https://www.redbus.in/bus-tickets/ernakulam-to-kozhikode
94,Kozhikode to Mysore,From INR 147,36 bus options,First Bus : 00:50,Last Bus : 23:25,BOOK NOW,https://www.redbus.in/bus-tickets/kozhikode-to-mysore
95,Kozhikode to Thiruvananthapuram,From INR 215,62 bus options,First Bus : 00:01,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/kozhikode-to-thiruvananthapuram
96,Bangalore to Kalpetta (kerala),From INR 357,17 bus options,First Bus : 10:03,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/bangalore-to-kalpetta
97,Mysore to Kozhikode,From INR 256,30 bus options,First Bus : 00:15,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/mysore-to-kozhikode
98,Kalpetta (kerala) to Bangalore,From INR 219,19 bus options,First Bus : 00:01,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/kalpetta-to-bangalore
99,Kozhikode to Thrissur,From INR 120,110 bus options,First Bus : 00:20,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/kozhikode-to-thrissur
100,Thiruvananthapuram to Kozhikode,From INR 111,62 bus options,First Bus : 00:03,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/thiruvananthapuram-to-kozhikode
101,Bangalore to Kannur,From INR 422,4 bus options,First Bus : 20:32,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/bangalore-to-kannur
102,Kozhikode to Kottayam,From INR 201,46 bus options,First Bus : 00:20,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/kozhikode-to-kottayam
103,Kannur to Bangalore,From INR 546,5 bus options,First Bus : 19:00,Last Bus : 22:10,BOOK NOW,https://www.redbus.in/bus-tickets/kannur-to-bangalore
104,Kottayam to Kozhikode,From INR 163,44 bus options,First Bus : 01:00,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/kottayam-to-kozhikode
105,Thrissur to Kozhikode,From INR 116,114 bus options,First Bus : 00:01,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/thrissur-to-kozhikode
106,Kozhikode to Kalpetta (kerala),From INR 78,64 bus options,First Bus : 00:01,Last Bus : 23:25,BOOK NOW,https://www.redbus.in/bus-tickets/kozhikode-to-kalpetta
107,Coimbatore to Ooty,From INR 58,3 bus options,First Bus : 11:00,Last Bus : 21:00,BOOK NOW,https://www.redbus.in/bus-tickets/coimbatore-to-ooty
108,Kalpetta (kerala) to Kozhikode,From INR 89,58 bus options,First Bus : 00:10,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/kalpetta-to-kozhikode
109,Khammam to Hyderabad,From INR 281,72 bus options,First Bus : 00:10,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/khammam-to-hyderabad
110,Hyderabad to Vijayawada,From INR 396,130 bus options,First Bus : 00:15,Last Bus : 23:20,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada
111,Hyderabad to Khammam,From INR 281,82 bus options,First Bus : 01:00,Last Bus : 23:55,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-khammam
112,Hyderabad to Srisailam,From INR 390,45 bus options,First Bus : 02:30,Last Bus : 22:00,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-srisailam
113,Karimnagar to Hyderabad,From INR 283,80 bus options,First Bus : 00:10,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/karimnagar-to-hyderabad
114,Hyderabad to Nirmal,From INR 376,52 bus options,First Bus : 01:15,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-nirmal
115,Hyderabad to Mancherial,From INR 429,43 bus options,First Bus : 04:30,Last Bus : 23:30,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-mancherial
116,Hyderabad to Adilabad,From INR 504,26 bus options,First Bus : 03:45,Last Bus : 23:15,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-adilabad
117,Hyderabad to Karimnagar,From INR 283,75 bus options,First Bus : 00:10,Last Bus : 23:45,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-karimnagar
118,Kothagudem to Hyderabad,From INR 396,51 bus options,First Bus : 00:15,Last Bus : 23:15,BOOK NOW,https://www.redbus.in/bus-tickets/kothagudem-to-hyderabad
119,Guntur (Andhra Pradesh) to Hyderabad,From INR 409,13 bus options,First Bus : 06:00,Last Bus : 23:00,BOOK NOW,https://www.redbus.in/bus-tickets/guntur-to-hyderabad
120,Godavarikhani to Hyderabad,From INR 392,53 bus options,First Bus : 00:10,Last Bus : 23:59,BOOK NOW,https://www.redbus.in/bus-tickets/godavarikhani-to-hyderabad
121,Kodad to Hyderabad,From INR 253,93 bus options,First Bus : 00:10,Last Bus : 23:20,BOOK NOW,https://www.redbus.in/bus-tickets/kodad-to-hyderabad
122,Hyderabad to Bhadrachalam,From INR 517,26 bus options,First Bus : 03:45,Last Bus : 23:20,BOOK NOW,https://www.redbus.in/bus-tickets/hyderabad-to-bhadrachalam
